case_id,family,domain_size,p,status,objective,full_numeric_ns,structured_solve_ns,speed_ratio_full_numeric_over_structured
assignment-n8-p2-s31,assignment,40320,2,0,0.0,104318159,3420717,30.495992214497722
assignment-n8-p3-s32,assignment,40320,3,0,0.004908694106080786,104913193,7956893,13.185195904984521
assignment-n8-p4-s33,assignment,40320,4,2,,99135887,16661709,5.949923084120602
assignment-n8-p5-s34,assignment,40320,5,0,0.0,183120772,16730638,10.945235441708798
path-w3-l9-p2-s41,layered_shortest_path,19683,2,0,0.0,29633163,4144299,7.150343882041329
path-w3-l9-p3-s42,layered_shortest_path,19683,3,0,0.0,53803745,7825204,6.875698703829319
path-w3-l9-p4-s43,layered_shortest_path,19683,4,2,,52583273,15917079,3.303575549257499
path-w3-l9-p5-s44,layered_shortest_path,19683,5,0,0.0,70481753,10003446,7.045747335468198
